2020-02-20 11:01:53; id:90296; total:100.00;; PAID
2020-02-20 11:01:53; id:90296; total:100.00;; PAID
2020-02-20 11:01:54; id:90296; total:100.00;; PAID
2020-02-20 11:01:54; id:90296; total:100.00;; PAID
2020-02-20 12:08:36; id:90299; total:100.00;; PAID
2020-02-20 12:14:14; id:90303; total:100.00;; PAID
2020-02-20 12:46:58; id:90309; total:100.00;; PAID
2020-02-20 12:47:00; id:90309; total:100.00;; PAID
2020-02-20 12:57:19; id:90310; total:100.00;; PAID
2020-02-20 12:57:21; id:90310; total:100.00;; PAID
2020-02-20 12:57:21; id:90310; total:100.00;; PAID
